[188, 35.85] AVG: 26.85
[189, 38.65] AVG: 27.11
[190, 36.25] AVG: 27.36
[191, 36.40] AVG: 25.08
[192, 36.80] AVG: 24.23
[193, 35.36] AVG: 27.23
[194, 35.50] AVG: 28.34
[195, 36.25] AVG: 28.42
[196, 37.00] AVG: 29.05
[197, 36.55] AVG: 28.34
[198, 36.40] AVG: 27.78
[199, 36.85] AVG: 29.40
[200, 36.95] AVG: 28.92
[201, 37.40] AVG: 29.59
[202, 36.06] AVG: 28.58
[203, 36.75] AVG: 28.81
[204, 37.55] AVG: 29.45
[205, 37.85] AVG: 29.48
[206, 37.80] AVG: 28.19
[207, 37.85] AVG: 27.56
[208, 37.05] AVG: 28.18
[209, 37.55] AVG: 29.78
[210, 36.55] AVG: 29.80
[211, 35.95] AVG: 30.10
[212, 38.00] AVG: 30.86
[213, 38.15] AVG: 30.48
[214, 40.00] AVG: 30.96
[215, 37.60] AVG: 27.84
[216, 39.30] AVG: 30.97
[217, 40.80] AVG: 31.09
[218, 41.00] AVG: 30.98
[219, 41.50] AVG: 32.34
[220, 41.40] AVG: 33.40
[221, 41.35] AVG: 32.71
[222, 42.80] AVG: 32.75
[223, 42.60] AVG: 34.20
[224, 42.80] AVG: 35.37
[225, 45.90] AVG: 36.09
[226, 46.10] AVG: 37.35
[227, 44.70] AVG: 36.38
[228, 46.60] AVG: 37.29
[229, 49.15] AVG: 38.54
[230, 48.65] AVG: 39.68
[231, 52.75] AVG: 38.25
[232, 51.40] AVG: 39.56
[233, 51.70] AVG: 39.79
[234, 53.45] AVG: 43.07
[235, 60.50] AVG: 44.15
[236, 54.90] AVG: 43.85
[237, 55.99] AVG: 45.34
[238, 62.20] AVG: 46.24
[239, 63.25] AVG: 48.74
[240, 59.70] AVG: 48.27
[241, 61.26] AVG: 49.07
[242, 60.45] AVG: 48.47
[243, 59.95] AVG: 49.20
[244, 60.20] AVG: 49.07
[245, 62.70] AVG: 50.11
[246, 59.80] AVG: 49.92
[247, 62.50] AVG: 45.72
[248, 64.20] AVG: 51.32
[249, 63.45] AVG: 51.30
[250, 66.04] AVG: 52.28
[251, 63.50] AVG: 52.08
[252, 64.10] AVG: 52.77
[253, 64.85] AVG: 52.41
[254, 65.06] AVG: 52.05
[255, 62.80] AVG: 52.30
[256, 64.90] AVG: 51.96
[257, 65.30] AVG: 52.65
[258, 64.40] AVG: 52.26
[259, 64.15] AVG: 53.17
[260, 65.21] AVG: 53.01
[261, 62.55] AVG: 52.32
[262, 62.10] AVG: 53.78
[263, 67.45] AVG: 53.72
[264, 67.05] AVG: 53.38
[265, 64.20] AVG: 53.36
[266, 67.90] AVG: 55.47
[267, 67.44] AVG: 55.68
[268, 68.90] AVG: 55.61
[269, 70.95] AVG: 55.78
[270, 68.10] AVG: 53.62
[271, 70.55] AVG: 56.00
[272, 67.20] AVG: 54.81
[273, 68.87] AVG: 54.35
[274, 73.00] AVG: 56.47
[275, 70.50] AVG: 55.37
[276, 72.55] AVG: 57.24
[277, 76.80] AVG: 56.89
[278, 78.70] AVG: 56.28
[279, 79.75] AVG: 59.12
[280, 81.38] AVG: 64.34
[281, 84.05] AVG: 64.54
[282, 80.40] AVG: 64.93
[283, 83.75] AVG: 65.39
[284, 83.28] AVG: 67.92
[285, 84.09] AVG: 66.96
[286, 83.15] AVG: 66.33
[287, 83.60] AVG: 67.23
[288, 84.66] AVG: 67.22
[289, 85.38] AVG: 67.70
[290, 85.43] AVG: 67.05
[291, 85.68] AVG: 67.99
[292, 85.70] AVG: 67.82
[293, 84.60] AVG: 63.85
[294, 84.80] AVG: 67.83
[295, 86.90] AVG: 64.38
[296, 81.85] AVG: 67.30
[297, 92.85] AVG: 67.40
[298, 95.83] AVG: 68.94
[299, 90.60] AVG: 69.98
[300, 93.28] AVG: 72.42
[301, 97.75] AVG: 76.69
[302, 97.30] AVG: 77.53
[303, 105.29] AVG: 77.90
[304, 102.35] AVG: 81.34
[305, 107.56] AVG: 82.40
[306, 103.67] AVG: 84.88
[307, 102.01] AVG: 84.95
[308, 107.51] AVG: 85.08
[309, 105.54] AVG: 85.93
